,Sr No,Date,Startup Name,Industry Vertical,Sub-Vertical,City,Investors Name,Investment Type,Amount (USD),Remarks
2423,2424,16-09-2015,WedmeGood,Wedding Planning Platform,Online Lending Platform,Gurugram,Indian Angel Network,Seed Funding,410000,No Remarks
2424,2425,16-09-2015,XSTOK,B2B Mobile Auction Marketplace,Online Lending Platform,Mumbai,Oliphans Capital,Seed Funding,450000,No Remarks
2425,2426,17-09-2015,UniLog,ECommerce Data Analytics Platform,Online Lending Platform,Bengaluru,Kalaari Capital,Private Equity,1750000,No Remarks
2426,2427,17-09-2015,Paintcollar,Designer Merchandize Marketplace,Online Lending Platform,Mumbai,Applyifi,Seed Funding,1750000,Bridge Funding
2427,2428,17-09-2015,YepMe,Private label Fashion eTailer,Online Lending Platform,Gurugram,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000,Series D
2428,2429,17-09-2015,Bueno,Online Food ordering & delivery,Online Lending Platform,Gurugram,High Networth Individuals (No details),Seed Funding,600000,No Remarks
2429,2430,18-09-2015,Plabro,Real Estate Broker Platform App,Online Lending Platform,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,350000,No Remarks
2430,2431,18-09-2015,CureJoy,Online Health & Wellness platform,Online Lending Platform,Bengaluru,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000,Pre-Series A
2431,2432,18-09-2015,Briston Technomach,Internet of Things platform,Online Lending Platform,New Delhi,Undisclosed,Seed Funding,150000,No Remarks
2432,2433,18-09-2015,LabStreet,Diagnostic Labs aggregator platform,Online Lending Platform,Gurugram,Multiple investors,Seed Funding,150000,No Remarks
2433,2434,19-09-2015,DailyNinja,Hyperlocal Delivery Platform,Online Lending Platform,Bengaluru,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,1750000,No Remarks
2434,2435,21-09-2015,Portea Medical,Home Medical Care Services,Online Lending Platform,Bengaluru,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,37500000,No Remarks
2435,2436,21-09-2015,Neotrade Analytics,Real-Time stock data platform,Online Lending Platform,Bengaluru,Rainmatter,Seed Funding,235000,No Remarks
2436,2437,21-09-2015,DishCo,Food discovery & table booking app,Online Lending Platform,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,1750000,No Remarks
2437,2438,21-09-2015,LafaLafa,coupons and cashback aggregator app,Online Lending Platform,Mumbai,500 Startups,Seed Funding,125000,thru Accelerator
2438,2439,21-09-2015,ConnectAbank,Financial Products lead generation platform,Online Lending Platform,Mumbai,Prakhar Bumb,Seed Funding,1750000,No Remarks
2439,2440,22-09-2015,VillFarm,Sustainable Agri-inputs Firm,Online Lending Platform,Bengaluru,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,1750000,No Remarks
2440,2441,22-09-2015,Bestdealfinance,Financial Services Portal,Online Lending Platform,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,3000000,Series A
2441,2442,22-09-2015,GameXS,Pre-owned games Marketplace,Online Lending Platform,New Delhi,Lead Angels,Seed Funding,1750000,No Remarks
2442,2443,22-09-2015,The Man Company,Content-based Subscription eCommerce platform,Online Lending Platform,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,1750000,No Remarks
2443,2444,22-09-2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",Online Lending Platform,Bengaluru,Swarnim Multiventures,Private Equity,800000,Pre-Series A
2444,2445,22-09-2015,Furdo,Online Interior Designing platform,Online Lending Platform,Bengaluru,Bhavdeep Reddy,Seed Funding,400000,No Remarks
2445,2446,22-09-2015,LogiNext,End-to-end Logistics platform,Online Lending Platform,Mumbai,Paytm,Private Equity,10000000,Series A
2446,2447,22-09-2015,Korra,Private Label Apparel sales,Online Lending Platform,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,300000,No Remarks
2447,2448,23-09-2015,Credihealth,Healthcare Consulting platform,Online Lending Platform,Gurugram,Rajat Malhotra,Seed Funding,1750000,No Remarks
2448,2449,23-09-2015,Amigobulls,Stock Market Portal,Online Lending Platform,Bengaluru,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,1750000,No Remarks
2449,2450,23-09-2015,SilverPush,Cross-device retargeting platform,Online Lending Platform,Gurugram,M&S Partners,Private Equity,1200000,Series A
2450,2451,23-09-2015,Juggernaut,Digital & Physical Publishing platform,Online Lending Platform,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,2250000,Series A
2451,2452,23-09-2015,InnerChef,Food Delivery Platform,Online Lending Platform,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,1750000,pre-Series A
2452,2453,24-09-2015,Quintype,Data Driven Publishing platform,Online Lending Platform,Bengaluru,Raghav Bahl,Private Equity,3300000,No Remarks
2453,2454,24-09-2015,Capabiliti,Employee OnBoarding & Orientation platform,Online Lending Platform,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,400000,No Remarks
2454,2455,24-09-2015,Fourth Partner Energy,Solar Power Solutions company,Online Lending Platform,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,2000000,Series A
2455,2456,24-09-2015,Licious,Online Meat Ordering platform,Online Lending Platform,Bengaluru,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,1000000,No Remarks
2456,2457,25-09-2015,TravelKhana,online meal-booking platform for train travelers,Online Lending Platform,New Delhi,Astarc Ventures & Others,Seed Funding,1750000,Pre-Series A
2457,2458,28-09-2015,Quickli,hyperlocal delivery platform,Online Lending Platform,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,1750000,No Remarks
2458,2459,28-09-2015,Ola Cabs,Cab Booking app platform,Online Lending Platform,Bengaluru,Didi Kuaidi,Private Equity,30000000,late Stage (part of $500M funding rnd)
2459,2460,29-09-2015,Paytm,E-Commerce & M-Commerce platform,Online Lending Platform,New Delhi,"Alibaba Group, Ant Financial",Private Equity,680000000,Late Stage (Alibaba @ 40% equity)
2460,2461,29-09-2015,Inmobi,Mobile Advertising platform,Online Lending Platform,Bengaluru,Tennenbaum Capital Partners & Others,Private Equity,100000000,Late Stage
2461,2462,29-09-2015,Peppertap,Hyperlocal Grocery Delivery,Online Lending Platform,Gurugram,"Sequoia India, SAIF Partners.",Private Equity,36000000,Series B
2462,2463,29-09-2015,Hugefly,Ecommerce Product recommendation platform,Online Lending Platform,Pune,Mayank Singhal and others,Seed Funding,1750000,No Remarks
2463,2464,29-09-2015,Brigge,Activity Based Social Network,Online Lending Platform,Chennai,The Chennai Angels,Seed Funding,1750000,No Remarks
2464,2465,29-09-2015,Zakoopi,Fashion Discovery platform,Online Lending Platform,New Delhi,Uniqorn Ventures,Seed Funding,350000,No Remarks
2465,2466,29-09-2015,LoanCircle,Consumer lending marketplace,Online Lending Platform,Bengaluru,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,1750000,No Remarks
2466,2467,30-09-2015,Infoworks,Big Data Management Platform,Online Lending Platform,Bengaluru,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,5000000,No Remarks
2467,2468,30-09-2015,RedDoorz,Budget Accommodation Platform,Online Lending Platform,Noida,Jungle Ventures,Seed Funding,1000000,No Remarks
2468,2469,30-09-2015,FirstTouch,Local Mobile OS,Online Lending Platform,Gurugram,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,1750000,Super angel round
2469,2470,30-09-2015,Eywa Media,Digital Signal processing platform,Online Lending Platform,Bengaluru,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,1000000,No Remarks
2470,2471,01-08-2015,Snapdeal,Ecommerce Marketplace,Online Lending Platform,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,500000000,Late Stage Round 7th (More details)
2471,2472,01-08-2015,Ressy,Restaurant Discount app,Online Lending Platform,Pune,Mohandas Pai & others,Seed Funding,400000,No Remarks
2472,2473,03-08-2015,Cuelearn,Tech-enabled learning,Online Lending Platform,New Delhi,Alok Mittal,Seed Funding,1750000,No Remarks
2473,2474,03-08-2015,Connect India,ECommerce Logistics provider,Online Lending Platform,New Delhi,Aavishkaar,Private Equity,5000000,Series A
2474,2475,03-08-2015,The Home Salon,on-demand home beauty and wellness portal,Online Lending Platform,Mumbai,VentureNursery,Seed Funding,1750000,No Remarks
2475,2476,03-08-2015,Jusride,Self Driven Car rental,Online Lending Platform,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,1750000,No Remarks
2476,2477,03-08-2015,Oyorooms,Budget Hotel accommodation brand,Online Lending Platform,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,100000000,Series B
2477,2478,03-08-2015,Glowship,Energy & Environment Online Marketplace,Online Lending Platform,Bengaluru,Infuse Ventures,Seed Funding,1750000,No Remarks
2478,2479,03-08-2015,Wizrocket,User Engagment & Analytics platform,Online Lending Platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,9600000,Series B
2479,2480,04-08-2015,Pickingo,On-Demand Delivery Logistics,Online Lending Platform,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,1300000,Series A
2480,2481,05-08-2015,Grex,fund raising platform for startups,Online Lending Platform,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,650000,No Remarks
2481,2482,05-08-2015,LetsTransport,Logistics Tech Platform,Online Lending Platform,Bengaluru,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,1300000,No Remarks
2482,2483,05-08-2015,Zo Rooms,Online budget hotel chain,Online Lending Platform,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,30000000,Series A
2483,2484,05-08-2015,Doormint,Hyperlocal Handyman services,Online Lending Platform,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,3000000,Series A
2484,2485,05-08-2015,NightStay,hotel booking app,Online Lending Platform,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,500000,No Remarks
2485,2486,05-08-2015,Zocalo,Rental Accomodation finder,Online Lending Platform,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,1750000,No Remarks
2486,2487,05-08-2015,Sunday Realty Solutions,Tech Platform for property brokers,Online Lending Platform,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,785000,No Remarks
2487,2488,06-08-2015,Klozee,Luxury Apparel rental,Online Lending Platform,Bengaluru,Tracxn Labs,Seed Funding,1750000,No Remarks
2488,2489,06-08-2015,Appvigil,App security testing platform,Online Lending Platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,500000,pre Series-A
2489,2490,06-08-2015,practo,Doctor Appointment booking app,Online Lending Platform,Bengaluru,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,90000000,Series C
2490,2491,06-08-2015,LoudShout,anonymous bulletin board app,Online Lending Platform,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,1750000,No Remarks
2491,2492,06-08-2015,Wetravelsolo,Travel community platform,Online Lending Platform,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,1750000,No Remarks
2492,2493,06-08-2015,Ketto,Crowd funding platform,Online Lending Platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,700000,No Remarks
2493,2494,06-08-2015,Ezetap,Mobile based PoS solution,Online Lending Platform,Bengaluru,"Horizons Ventures, Capricorn Investment Group, SocialCapital, Helion Advisors, Berggruen Holdings",Private Equity,25000000,Series C
2494,2495,06-08-2015,NDTV ecommerce venture,Car & Bike ecommerce platform,Online Lending Platform,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,1750000,Series A
2495,2496,07-08-2015,Carl's Jr,Fast food Chain Franchisee,Online Lending Platform,Gurugram,YouWeCan Ventures,Seed Funding,630000,No Remarks
2496,2497,07-08-2015,EasyRewardz,Loyalty Programs & Reward Points,Online Lending Platform,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,500000,Pre-Series A
2497,2498,07-08-2015,GIBSS,Energy saving solutions provider,Online Lending Platform,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,1750000,Series A
2498,2499,07-08-2015,StoreMore,Self-Storage Spaces,Online Lending Platform,Noida,Bedrock Ventures,Seed Funding,1750000,No Remarks
2499,2500,07-08-2015,iOrderFresh,Grocery retail Mobile app,Online Lending Platform,New Delhi,Best Foodworks,Seed Funding,1750000,No Remarks
2500,2501,10-08-2015,MyTaxiIndia,Taxi Rental platform,Online Lending Platform,Gurugram,"Nihon Kotsu,",Private Equity,500000,Pre Series-A
2501,2502,10-08-2015,eSadar,ecommerce,Online Lending Platform,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,80000,No Remarks
2502,2503,10-08-2015,Actionable Analytics,Machine Learning Platform,Online Lending Platform,New Delhi,"B M Gupta, Vinod Singhal",Seed Funding,1750000,No Remarks
2503,2504,10-08-2015,MyPoolin,mobile social network,Online Lending Platform,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,250000,QPrize Contest Winners
2504,2505,10-08-2015,NearBuy,Hyper-Local Ecommerce,Online Lending Platform,New Delhi,Sequoia Capital,Private Equity,16000000,Series A
2505,2506,10-08-2015,Inkmonk,Online printing marketplace,Online Lending Platform,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,250000,No Remarks
2506,2507,10-08-2015,ToneTag,mobile payment software platform,Online Lending Platform,Bengaluru,Reliance Capital Venture,Private Equity,1000000,Series A
2507,2508,10-08-2015,Grey Orange,Automated Storage & Warehousing Solution,Online Lending Platform,Gurugram,Tiger Global Management,Private Equity,30000000,Series B
2508,2509,11-08-2015,Livspace,Home Design & Décor solutions,Online Lending Platform,Bengaluru,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,8000000,Series A
2509,2510,11-08-2015,WOW! MOMO,Quick Service Restaurant Chain,Online Lending Platform,Kolkata,Indian Angel Network,Seed Funding,1600000,No Remarks
2510,2511,11-08-2015,RainCan,Subscription based Online Grocery platform,Online Lending Platform,Pune,Ajeet Khurana & Others,Seed Funding,100000,No Remarks
2511,2512,11-08-2015,Allygrow Technologies,engineering services company,Online Lending Platform,Mumbai,Zodius Technology Fund,Private Equity,20000000,Series A
2512,2513,11-08-2015,Infogain,Business and IT consulting,Online Lending Platform,New Delhi,ChrysCapital,Private Equity,63000000,No Remarks
2513,2514,12-08-2015,OneAssist,Credit Card Fraud protection solutions,Online Lending Platform,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,7500000,Series B
2514,2515,12-08-2015,BigBasket,Online & mobile Grocery store,Online Lending Platform,Bengaluru,Bessemer Venture Partners,Private Equity,50000000,Series C
2515,2516,12-08-2015,Sheroes,Career Community for Women,Online Lending Platform,Noida,"Quintillion Media, 500 Startups",Seed Funding,770000,No Remarks
2516,2517,12-08-2015,Scripbox,Mutual Fund Investing platform,Online Lending Platform,Bengaluru,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,2500000,Series A
2517,2518,13-08-2015,etaout,Ecommerce Marketing Software Platform,Online Lending Platform,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham & Group of other Angel investors",Seed Funding,500000,No Remarks
2518,2519,13-08-2015,IFMR Holdings,Financial Inclusion platform,Online Lending Platform,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,25000000,Series B
2519,2520,13-08-2015,Massblurb,Digital Marketing automation solution,Online Lending Platform,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,1750000,No Remarks
2520,2521,13-08-2015,Agrostar,Mobile Commerce for Farmers,Online Lending Platform,Pune,IDG Ventures,Private Equity,4000000,Series A
2521,2522,14-08-2015,VoxWeb,Picture based Social App,Online Lending Platform,Mumbai,Jitendra Gupta & others,Seed Funding,100000,No Remarks
2522,2523,14-08-2015,Trukky,Logistics service platform,Online Lending Platform,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,245000,No Remarks
2523,2524,14-08-2015,VanityCube,On-Demand Beauty Services,Online Lending Platform,New Delhi,Group of angel investors,Seed Funding,1750000,No Remarks
2524,2525,17-08-2015,Edu4Share,Exam Preparation Platform,Online Lending Platform,New Delhi,Nalin Jain & other angel investors,Seed Funding,220000,No Remarks
